File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
repos_cpp/nghttp2/src/shrpx.cc,423,9,5,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchown( ) instead.,,CWE-362,"    if (chown(pid_file.data(), config->uid, config->gid) == -1) {",1c5ec5823adf3cec2ce89cebd6f2cec6087baf5d251c87d3a817c821ddba7dbf,2.0.19,FF1031,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/nghttp2/src/shrpx.cc,1008,11,5,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchown( ) instead.,,CWE-362,"      if (chown(addr.host.data(), config->uid, config->gid) == -1) {",f199c86d813f0d15664af0634c2ce9451083ea11835c04c9ef382dd4a540eb31,2.0.19,FF1031,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/nghttp2/src/shrpx.cc,3354,13,5,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchown( ) instead.,,CWE-362,"        if (chown(path, config->uid, config->gid) == -1) {",b79f8ed2e884d5e1f7539092e82cc6ea0bad077ef29ddb4e52fd64e81e19c2b4,2.0.19,FF1031,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/nghttp2/src/shrpx.cc,3376,13,5,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchown( ) instead.,,CWE-362,"        if (chown(path, config->uid, config->gid) == -1) {",b79f8ed2e884d5e1f7539092e82cc6ea0bad077ef29ddb4e52fd64e81e19c2b4,2.0.19,FF1031,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/nghttp2/examples/libevent-client.c,32,34,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"#  define warnx(format, args...) fprintf(stderr, format ""\n"", ##args)",364203dd511253f8abbad8b4e876137d707904280d2c4893242486fe1f798afa,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/nghttp2/examples/libevent-server.c,32,34,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"#  define warnx(format, args...) fprintf(stderr, format ""\n"", ##args)",364203dd511253f8abbad8b4e876137d707904280d2c4893242486fe1f798afa,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/nghttp2/lib/nghttp2_debug.c,33,3,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  vfprintf(stderr, fmt, args);",6c25caac18e46a84a9dc5a0b738a92c77aaf3a185ee35d002035c3bd178c9cb5,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/nghttp2/lib/nghttp2_session.c,172,8,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"  rv = vsnprintf(NULL, 0, fmt, ap);",8058ce37f3fd1b19131666bb57cfc65e4dc4535cc67413bb926a1b4db7ae442a,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/nghttp2/lib/nghttp2_session.c,187,8,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"  rv = vsnprintf(buf, bufsize, fmt, ap);",ead2440becd15814cd4a57e261c94be926a47a00bc51b4f5b3723277f6af42fc,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/nghttp2/src/h2load_quic.cc,255,3,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"  vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
