File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
repos_cpp/libsndfile/tests/misc_test.c,341,4,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,"	{	chmod (filename, S_IWUSR) ;",2a432a518834073b8e9dc1fd5229ed583fac1025da43ec730e38720c8eea73eb,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/libsndfile/tests/misc_test.c,353,6,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,"	if (chmod (filename, S_IRUSR | S_IRGRP))",4540aad1fd8533cb2e5b5b59f7371b3d9b60aef2c970f7997f642ad4586e3885,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/libsndfile/tests/misc_test.c,377,6,5,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362).",Use fchmod( ) instead.,,CWE-362,"	if (chmod (filename, S_IWUSR | S_IWGRP))",cd27e7c7acb8d13808c80a374618e7a24f3cff6cd8fb1ae3c056339d30dc4148,2.0.19,FF1033,https://cwe.mitre.org/data/definitions/362.html
repos_cpp/libsndfile/programs/sndfile-play.c,827,6,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"	if (access (""/proc/asound/cards"", R_OK) == 0)",79bf73cde2274322d68bd75ce3a2daf1b9ad8257e59f95e36c248212630dae59,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
repos_cpp/libsndfile/src/ALAC/alac_encoder.c,28,20,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,#define DebugMsg			printf,2ef2a42240da0121d4cea17a8d42600071e5946a74fc27e3477a1e66e6ac0338,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/libsndfile/src/common.c,417,2,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vsnprintf (start, maxlen, format, argptr) ;",a9e0a7bb9cd4a23ca3c119b2030c28b3f5581cea32fe3ea535d114be37bd1994,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/libsndfile/src/common.c,1233,5,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"		{	printf (m == 8 ? "" %02X "" : ""%02X "", data [k + m] & 0xFF) ;",7d3e79716b0da4d093218d0b93d923ce46a6dd0020d5c42519c64134f133e943,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/libsndfile/src/common.c,1514,3,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"		vsnprintf (dest + len, maxlen - len, fmt, ap) ;",d7a6dbe02355d5926b70d537cab1393272226582f7779761bf57c602fb4029ef,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
repos_cpp/libsndfile/src/common.c,1837,16,4,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!).","Set up the correct permissions (e.g., using setuid()) and try to open the file directly.",,CWE-362/CWE-367!,"	if (tmpdir && access (tmpdir, R_OK | W_OK | X_OK) == 0)",0d0262414dd790a26129c1d5d4eeac6fcb710e648cc02a62ee832426eeb0199e,2.0.19,FF1030,https://cwe.mitre.org/data/definitions/362.htmlhttps://cwe.mitre.org/data/definitions/367.html
repos_cpp/libsndfile/src/test_conversions.c,38,4,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	{	printf (str, line, ival, tval) ; \",1f8c0561006f16257fa9f5a79a3b10b779f74a496afa2764f06aef4ff7b3bca1,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
